2026-04-11T11:03:14 UTC | Loading BPF program from /home/litaliano00-dev/PysiAdmin/ebpf/probes/exec_monitor.c
2026-04-11T11:03:18 UTC | Tracing execve syscalls — Ctrl+C to stop.
2026-04-11T11:13:52 UTC | EXEC | pid=353482 ppid=353473 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:13:52 UTC | EXEC | pid=353484 ppid=353483 uid=1000   comm=bwrap                file=
2026-04-11T11:14:18 UTC | EXEC | pid=353496 ppid=4716   uid=1000   comm=pool-1459            file=
2026-04-11T11:14:18 UTC | EXEC | pid=353496 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:14:18 UTC | EXEC | pid=353498 ppid=353497 uid=1000   comm=bwrap                file=
2026-04-11T11:14:18 UTC | EXEC | pid=353503 ppid=353498 uid=1000   comm=blocking-2           file=
2026-04-11T11:14:18 UTC | EXEC | pid=353505 ppid=353504 uid=1000   comm=bwrap                file=
2026-04-11T11:14:18 UTC | EXEC | pid=353507 ppid=353498 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:14:18 UTC | EXEC | pid=353509 ppid=353508 uid=1000   comm=bwrap                file=
2026-04-11T11:14:55 UTC | EXEC | pid=353530 ppid=4716   uid=1000   comm=pool-1461            file=
2026-04-11T11:14:55 UTC | EXEC | pid=353530 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:14:55 UTC | EXEC | pid=353532 ppid=353531 uid=1000   comm=bwrap                file=
2026-04-11T11:14:55 UTC | EXEC | pid=353537 ppid=353532 uid=1000   comm=blocking-2           file=
2026-04-11T11:14:55 UTC | EXEC | pid=353539 ppid=353538 uid=1000   comm=bwrap                file=
2026-04-11T11:14:55 UTC | EXEC | pid=353541 ppid=353532 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:14:55 UTC | EXEC | pid=353543 ppid=353542 uid=1000   comm=bwrap                file=
2026-04-11T11:14:59 UTC | EXEC | pid=353556 ppid=4716   uid=1000   comm=pool-1460            file=
2026-04-11T11:14:59 UTC | EXEC | pid=353556 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:14:59 UTC | EXEC | pid=353559 ppid=353558 uid=1000   comm=bwrap                file=
2026-04-11T11:14:59 UTC | EXEC | pid=353564 ppid=353559 uid=1000   comm=blocking-2           file=
2026-04-11T11:14:59 UTC | EXEC | pid=353566 ppid=353565 uid=1000   comm=bwrap                file=
2026-04-11T11:14:59 UTC | EXEC | pid=353568 ppid=353559 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:14:59 UTC | EXEC | pid=353570 ppid=353569 uid=1000   comm=bwrap                file=
2026-04-11T11:14:59 UTC | EXEC | pid=353575 ppid=4716   uid=1000   comm=pool-1460            file=
2026-04-11T11:14:59 UTC | EXEC | pid=353575 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:14:59 UTC | EXEC | pid=353577 ppid=353576 uid=1000   comm=bwrap                file=
2026-04-11T11:14:59 UTC | EXEC | pid=353582 ppid=353577 uid=1000   comm=blocking-2           file=
2026-04-11T11:14:59 UTC | EXEC | pid=353584 ppid=353583 uid=1000   comm=bwrap                file=
2026-04-11T11:14:59 UTC | EXEC | pid=353586 ppid=353577 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:14:59 UTC | EXEC | pid=353588 ppid=353587 uid=1000   comm=bwrap                file=
2026-04-11T11:15:08 UTC | EXEC | pid=353599 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:08 UTC | EXEC | pid=353599 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:08 UTC | EXEC | pid=353599 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:08 UTC | EXEC | pid=353599 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:08 UTC | EXEC | pid=353599 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:08 UTC | EXEC | pid=353599 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:08 UTC | EXEC | pid=353603 ppid=353602 uid=1000   comm=bwrap                file=
2026-04-11T11:15:21 UTC | EXEC | pid=353646 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:21 UTC | EXEC | pid=353649 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:21 UTC | EXEC | pid=353652 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:21 UTC | EXEC | pid=353655 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:21 UTC | EXEC | pid=353658 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:21 UTC | EXEC | pid=353661 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:21 UTC | EXEC | pid=353664 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:21 UTC | EXEC | pid=353667 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:38 UTC | EXEC | pid=353675 ppid=4637   uid=1000   comm=localsearch-3        file=
2026-04-11T11:15:46 UTC | EXEC | pid=353685 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:46 UTC | EXEC | pid=353688 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:46 UTC | EXEC | pid=353691 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:46 UTC | EXEC | pid=353694 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:46 UTC | EXEC | pid=353697 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:46 UTC | EXEC | pid=353700 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:46 UTC | EXEC | pid=353703 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:46 UTC | EXEC | pid=353706 ppid=1161   uid=114    comm=polkitd              file=
2026-04-11T11:15:50 UTC | EXEC | pid=353712 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:50 UTC | EXEC | pid=353712 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:50 UTC | EXEC | pid=353712 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:50 UTC | EXEC | pid=353712 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:50 UTC | EXEC | pid=353712 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:50 UTC | EXEC | pid=353712 ppid=4246   uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:15:50 UTC | EXEC | pid=353715 ppid=353714 uid=1000   comm=bwrap                file=
2026-04-11T11:15:58 UTC | EXEC | pid=353757 ppid=4637   uid=1000   comm=localsearch-3        file=
2026-04-11T11:16:48 UTC | EXEC | pid=353786 ppid=3946   uid=1000   comm=systemd              file=
2026-04-11T11:16:48 UTC | EXEC | pid=353786 ppid=3946   uid=1000   comm=(nautilus)           file=
2026-04-11T11:16:49 UTC | EXEC | pid=353808 ppid=3946   uid=1000   comm=systemd              file=
2026-04-11T11:16:49 UTC | EXEC | pid=353808 ppid=3946   uid=1000   comm=(org.gnome.Nau)      file=
2026-04-11T11:16:49 UTC | EXEC | pid=353810 ppid=1      uid=0      comm=systemd              file=
2026-04-11T11:16:49 UTC | EXEC | pid=353830 ppid=353786 uid=1000   comm=blocking-2           file=
2026-04-11T11:16:49 UTC | EXEC | pid=353830 ppid=353786 uid=1000   comm=blocking-2           file=
2026-04-11T11:16:49 UTC | EXEC | pid=353830 ppid=353786 uid=1000   comm=blocking-2           file=
